ID,Country,Year,Co2_Coal,Co2_Gas,Co2_Oil,Co2Oil_percapita,Co2Gas_percapita,Co2Coal_percapita,Coal_percapita,Oil_percapita,Gas_percapita,Nuclear_percapita,Hydro_percapita,Wind_percapita,Solar_percapita,Oil_Consumption,Gas_Consumption,Coal_Consumption
1,Algeria,2001,2095808,41029472,28458288,0.905,1.305,0.067,207.071,3394.869,6273.759,0,6.054,0,0,106.775,197.322,6.513
2,Algeria,2002,2608768,44653168,29495200,0.926,1.402,0.082,268.343,3716.758,6116.435,0,4.906,0,0,118.3972297,194.839,8.548
3,Algeria,2003,2788304,44026624,31942752,0.990,1.365,0.086,218.441,3817.698,6382.713,0,22.377,0,0,123.1741181,205.932,7.048
4,Algeria,2004,1923600,41209008,32818448,1.004,1.261,0.059,257.203,3938.179,6481.688,0,20.784,0,0,128.7468303,211.899,8.408
5,Algeria,2005,2363280,61210784,31052400,0.937,1.847,0.071,208.393,4048.672,6743.893,0,45.058,0,0,134.213385,223.560,6.908
6,Algeria,2006,2700368,49306448,35233024,1.047,1.466,0.080,304.916,4157.006,6792.238,0,17.289,0,0,139.8457208,228.498,10.258
7,Algeria,2007,3011808,51076160,38321776,1.122,1.495,0.088,257.673,4577.227,6843.065,0,17.57,0,0,156.3899964,233.807,8.804
8,Algeria,2008,3008246,51550561,37363073,1.076,1.484,0.087,253.489,4892.345,7026.635,0,21.51,0,0,169.9158964,244.042,8.804
9,Algeria,2009,1593840,54894048,44891328,1.271,1.554,0.045,159.964,5098.052,7418.289,0,25.393,0,0,180.1344294,262.118,5.652
10,Algeria,2010,1216486,53367834,45365407,1.261,1.483,0.034,100.211,5004.558,7039.844,0,12.538,0,0.66,181.6119161,253.272,3.605
11,Algeria,2011,1047872,56720635,46919737,1.280,1.547,0.029,87.239,5243.387,7309.398,0,26.72,0,1.281,192.2276531,267.970,3.198
12,Algeria,2012,1036882,64114493,48539276,1.298,1.715,0.028,90.84,5467.458,7991.146,0,26.802,0,1.841,204.3952678,298.741,3.396
13,Algeria,2013,725472,65450032,51918880,1.361,1.716,0.019,48.179,5599.805,8422.008,0,6.646,0,1.92,213.576385,321.215,1.838
14,Algeria,2014,545936,73833264,52886176,1.359,1.897,0.014,53.483,5701.504,9272.391,0,12.619,0.065,3.923,221.9251528,360.918,2.082
15,Algeria,2015,501968,78768672,55590208,1.399,1.983,0.013,38.935,5944.137,9545.542,0,9.233,1.21,3.693,236.1484833,379.225,1.547
17,Algeria,2017,795088,82352064,55308080,1.336,1.990,0.019,51.141,5444.019,9534.546,0,3.383,1.148,30.443,225.5121158,394.625,2.117
18,Algeria,2018,1330002,88886615,54922109,1.301,2.105,0.032,137.705,5455.005,10279.621,0,6.886,0.589,35.49,229.3377981,434.088,5.815
19,Algeria,2019,1098606,92436302,56759097,1.318,2.147,0.026,135.066,5688.969,10507.406,0,8.714,0.575,35.372,237.0030956,451.413,4.803
20,Argentina,2001,1289728,64808832,64336176,1.726,1.739,0.035,165.169,6253.742,8111.13,522.616,3102.324,3.654,0.003,245.2950139,302.350,6.157
21,Argentina,2002,1099232,62619608,57497185,1.526,1.662,0.029,121.711,5702.289,7812.111,423.566,3017.358,5.341,0.003,232.8151744,294.376,4.586
22,Argentina,2003,1989552,69070064,59356800,1.558,1.813,0.052,146.867,5806.135,8829.31,541.181,2795.323,5.576,0.005,237.4220572,336.291,5.594
