"","Country","Year","Co2_Coal","Co2_Gas","Co2_Oil","Co2Oil_percapita","Co2Gas_percapita","Co2Coal_percapita","Coal_percapita","Oil_percapita","Gas_percapita","Nuclear_percapita","Hydro_percapita","Wind_percapita","Solar_percapita","Oil_Consumption","Gas_Consumption","Coal_Consumption","total_co2","tot_co2pc","total_conspc","total_renewpc"
"146","Brazil",2001,49426704,23185590,241794706,1.3646,0.1308,0.2789,839.681,5929.801,693.368,222.389,4172.04,0.544,0,1050.73611083333,122.861938888889,148.788004444444,314407000,1.7743,7462.85,4394.973
"147","Brazil",2002,48688815,29292858,239219326,1.3324,0.1632,0.2712,802.117,5734.647,808.534,211.306,4369.25,0.932,0,1029.58625166667,145.162519722222,144.010391666667,317200999,1.7668,7345.298,4581.488
"148","Brazil",2003,51933112,30919220,232433668,1.2784,0.1701,0.2856,821.845,5495.467,893.647,200.166,4579.577,0.914,0,999.124576388889,162.47292,149.418728888889,315286000,1.7341,7210.959,4780.657
"149","Brazil",2004,53832656,38215091,239768252,1.303,0.2077,0.2926,851.369,5611.39,1050.102,170.815,4719.411,0.897,0,1032.52860472222,193.224837222222,156.656886944444,331815999,1.8033,7512.861,4891.123
"150","Brazil",2005,50948421,39619381,240221198,1.2906,0.2129,0.2737,811.729,5663.692,1081.365,142.423,4876.866,1.343,0,1054.16513805556,201.271156944444,151.0846025,330789000,1.7772,7556.786,5020.632
"151","Brazil",2006,50837875,42052554,242248571,1.2874,0.2235,0.2702,791.712,5710.387,1125.054,195.38,4954.866,3.367,0,1074.50548583333,211.697816944444,148.973973888889,335139000,1.7811,7627.153,5153.613
"152","Brazil",2007,54989055,43245603,256003342,1.3465,0.2275,0.2892,830.336,5875.373,1146.671,172.535,5225.259,9.26,0,1117.08372722222,218.016364166667,157.871721666667,354238000,1.8632,7852.38,5407.054
"153","Brazil",2008,55315497,51302693,267238809,1.3916,0.2672,0.2881,833.893,6075.488,1336.297,192.02,5080.133,16.262,0,1166.67508777778,256.608854722222,160.132355555556,373856999,1.9469,8245.678,5288.415
"154","Brazil",2009,43586053,40958538,262705409,1.3549,0.2113,0.2248,666.405,5962.902,1066.014,175.319,5290.407,16.751,0,1156.12838861111,206.686138055556,129.207160277778,347250000,1.791,7695.321,5482.477
"155","Brazil",2010,56688185,55048824,286079991,1.4617,0.2813,0.2896,859.406,6442.606,1409.036,193.482,5372.755,28.997,0,1260.90717083333,275.7677925,168.197640833333,397817000,2.0326,8711.048,5595.234
"156","Brazil",2011,62292401,53100582,303885017,1.5385,0.2688,0.3154,909.652,6787.028,1391.461,205.456,5619.877,35.488,0,1340.53878444444,274.834249722222,179.669700555556,419278000,2.1227,9088.141,5860.821
"157","Brazil",2012,61016471,63396560,327733969,1.6445,0.3181,0.3062,892.163,6938.48,1634.655,207.294,5368.246,65.271,0.013,1382.74772388889,325.765332777778,177.796409444444,452147000,2.2688,9465.298,5640.824
"158","Brazil",2013,65604089,74703787,342338124,1.7029,0.3716,0.3263,953.28,7273.845,1909.25,196.756,4979.38,83.745,0.061,1462.30358416667,383.827727777778,191.643494444444,482646000,2.4008,10136.375,5259.942
"159","Brazil",2014,69033897,81285725,356753378,1.7595,0.4009,0.3405,1004.944,7432.725,2005.065,193.017,4687.073,153.252,0.202,1509.28519027778,406.5547425,203.766369722222,507073000,2.5009,10442.734,5033.544
"160","Brazil",2015,69451663,80464761,330358576,1.6157,0.3935,0.3397,1002.474,6914.214,2099.876,182.294,4450.802,267.557,0.729,1414.33621138889,429.365408611111,204.977711388889,480275000,2.3489,10016.564,4901.382
"161","Brazil",2016,63831218,69665669,312939113,1.5179,0.3379,0.3096,898.059,6509.155,1798.961,193.515,4646.386,408.5,1.04,1341.5733525,370.878824444444,185.14636,446436000,2.1654,9206.175,5249.441
"162","Brazil",2017,67321941,70687790,317819665,1.5292,0.3401,0.3239,939.555,6549.189,1810.679,189.324,4461.575,509.701,10.006,1362.49632972222,376.320283611111,195.271415555556,455829396,2.1932,9299.423,5170.606
